Coverage,LowerPercentile,UpperPercentile,PercentileInterval,RangeNumber,Hue Lower,Hue Upper,Sat Lower,Sat Upper,Val Lower,Val Upper
65%,17.5,82.5,65.0,1,26,28,215,254,220,237
70%,14.999999999999996,85.0,70.0,1,25,28,210,254,219,237
75%,12.499999999999995,87.5,75.0,1,25,28,203,254,218,238
80%,9.999999999999993,90.0,80.0,1,25,28,195,254,215,239
85%,7.49999999999999,92.50000000000001,85.00000000000003,1,24,29,186,255,211,240
90%,4.999999999999988,95.00000000000001,90.00000000000003,1,23,29,175,255,205,241
95%,2.499999999999986,97.50000000000001,95.00000000000003,1,21,29,163,255,197,243
100%,-2.220446049250313e-14,100.00000000000003,100.00000000000006,1,17,40,117,255,47,249
