Coverage,LowerPercentile,UpperPercentile,PercentileInterval,RangeNumber,Hue Lower,Hue Upper,Sat Lower,Sat Upper,Val Lower,Val Upper
65%,17.5,82.5,65.0,1,176,179,110,128,151,207
70%,14.999999999999996,85.0,70.0,1,175,179,109,128,121,207
75%,12.499999999999995,87.5,75.0,1,175,179,108,130,107,208
80%,9.999999999999993,90.0,80.0,1,174,179,105,132,100,209
85%,7.49999999999999,92.50000000000001,85.00000000000003,1,173,179,102,139,94,210
90%,4.999999999999988,95.00000000000001,90.00000000000003,1,173,179,97,143,84,212
95%,2.499999999999986,97.50000000000001,95.00000000000003,1,171,179,91,146,76,214
100%,-2.220446049250313e-14,100.00000000000003,100.00000000000006,1,0,10,11,164,55,229
100%,-2.220446049250313e-14,100.00000000000003,100.00000000000006,2,170,180,11,164,55,229
