Coverage,LowerPercentile,UpperPercentile,PercentileInterval,RangeNumber,Hue Lower,Hue Upper,Sat Lower,Sat Upper,Val Lower,Val Upper
65%,17.5,82.5,65.0,1,113,119,249,255,156,202
70%,14.999999999999996,85.0,70.0,1,113,119,248,255,152,203
75%,12.499999999999995,87.5,75.0,1,112,119,247,255,147,204
80%,9.999999999999993,90.0,80.0,1,112,119,247,255,141,206
85%,7.49999999999999,92.50000000000001,85.00000000000003,1,112,120,246,255,132,207
90%,4.999999999999988,95.00000000000001,90.00000000000003,1,111,120,244,255,120,209
95%,2.499999999999986,97.50000000000001,95.00000000000003,1,110,120,242,255,104,211
100%,-2.220446049250313e-14,100.00000000000003,100.00000000000006,1,53,123,142,255,4,225
