Coverage,LowerPercentile,UpperPercentile,PercentileInterval,RangeNumber,Hue Lower,Hue Upper,Sat Lower,Sat Upper,Val Lower,Val Upper
65%,17.5,82.5,65.0,1,23,25,92,107,213,251
70%,14.999999999999996,85.0,70.0,1,23,25,91,108,212,252
75%,12.499999999999995,87.5,75.0,1,23,25,90,108,210,253
80%,9.999999999999993,90.0,80.0,1,23,25,88,109,207,254
85%,7.49999999999999,92.50000000000001,85.00000000000003,1,22,26,86,110,183,255
90%,4.999999999999988,95.00000000000001,90.00000000000003,1,22,26,83,111,166,255
95%,2.499999999999986,97.50000000000001,95.00000000000003,1,22,27,79,113,156,255
100%,-2.220446049250313e-14,100.00000000000003,100.00000000000006,1,5,30,24,119,69,255
