Coverage,LowerPercentile,UpperPercentile,PercentileInterval,RangeNumber,Hue Lower,Hue Upper,Sat Lower,Sat Upper,Val Lower,Val Upper
65%,17.5,82.5,65.0,1,118,121,111,127,164,207
70%,14.999999999999996,85.0,70.0,1,118,121,110,128,162,208
75%,12.499999999999995,87.5,75.0,1,118,121,109,129,157,209
80%,9.999999999999993,90.0,80.0,1,118,121,108,130,153,210
85%,7.49999999999999,92.50000000000001,85.00000000000003,1,118,121,106,131,130,212
90%,4.999999999999988,95.00000000000001,90.00000000000003,1,118,121,104,131,119,215
95%,2.499999999999986,97.50000000000001,95.00000000000003,1,117,121,99,135,113,217
100%,-2.220446049250313e-14,100.00000000000003,100.00000000000006,1,115,123,79,147,92,223
